pseudonym,sex,total_duration,first_date,last_date,nbr_washing_instances,active_time_in_weeks,avg_times_per_week,avg_hours_per_week
F1,f,19.0,2022-12-05,2023-11-18,18,49.714285714285715,0.3620689655172414,0.382183908045977
F10,f,20.0,2022-12-09,2023-03-15,20,13.714285714285714,1.4583333333333335,1.4583333333333335
F11,f,40.0,2022-12-09,2023-05-25,28,23.857142857142858,1.1736526946107784,1.6766467065868262
F12,f,29.0,2022-12-09,2023-11-28,29,50.57142857142857,0.5734463276836158,0.5734463276836158
F13,f,36.0,2022-12-10,2023-08-17,36,35.714285714285715,1.008,1.008
F14,f,30.0,2022-12-10,2023-11-23,26,49.714285714285715,0.5229885057471264,0.603448275862069
F15,f,64.0,2022-12-10,2023-11-27,54,50.285714285714285,1.0738636363636365,1.2727272727272727
F16,f,39.0,2022-12-10,2023-09-20,39,40.57142857142857,0.9612676056338029,0.9612676056338029
F17,f,9.0,2022-12-11,2023-06-16,9,26.714285714285715,0.33689839572192515,0.33689839572192515
F18,f,35.25,2022-12-11,2023-11-24,32,49.714285714285715,0.6436781609195402,0.709051724137931
F19,f,24.0,2022-12-11,2023-11-22,24,49.42857142857143,0.48554913294797686,0.48554913294797686
F2,f,18.0,2022-12-05,2023-06-19,18,28.0,0.6428571428571429,0.6428571428571429
F20,f,35.0,2022-12-12,2023-12-01,33,50.57142857142857,0.652542372881356,0.692090395480226
F21,f,32.0,2022-12-12,2023-11-24,32,49.57142857142857,0.6455331412103746,0.6455331412103746
F22,f,12.0,2022-12-12,2023-12-01,12,50.57142857142857,0.23728813559322035,0.23728813559322035
F23,f,84.0,2022-12-12,2023-11-28,76,50.142857142857146,1.5156695156695157,1.675213675213675
F24,f,19.0,2022-12-13,2023-08-25,19,36.42857142857143,0.5215686274509803,0.5215686274509803
F25,f,39.5,2022-12-13,2023-11-15,37,48.142857142857146,0.7685459940652819,0.8204747774480712
F26,f,12.0,2022-12-17,2023-11-15,12,47.57142857142857,0.2522522522522523,0.2522522522522523
F27,f,32.0,2022-12-19,2023-11-26,32,48.857142857142854,0.6549707602339182,0.6549707602339182
F28,f,26.0,2022-12-20,2023-11-19,22,47.714285714285715,0.4610778443113772,0.5449101796407185
F29,f,18.0,2022-12-21,2023-09-05,18,36.857142857142854,0.48837209302325585,0.48837209302325585
F3,f,29.0,2022-12-06,2023-12-01,29,51.42857142857143,0.5638888888888889,0.5638888888888889
F30,f,30.0,2022-12-22,2023-12-02,25,49.285714285714285,0.5072463768115942,0.6086956521739131
F31,f,75.41,2022-12-22,2023-12-02,64,49.285714285714285,1.2985507246376813,1.5300579710144928
F32,f,20.0,2023-01-08,2023-11-18,20,44.857142857142854,0.445859872611465,0.445859872611465
F33,f,22.0,2023-01-10,2023-11-26,21,45.714285714285715,0.459375,0.48125
F34,f,28.5,2023-01-11,2023-08-16,28,31.0,0.9032258064516129,0.9193548387096774
F35,f,14.5,2023-01-12,2023-08-24,11,32.0,0.34375,0.453125
F36,f,60.0,2023-01-15,2023-11-05,50,42.0,1.1904761904761905,1.4285714285714286
F37,f,7.0,2023-01-16,2023-06-28,7,23.285714285714285,0.3006134969325153,0.3006134969325153
F38,f,11.0,2023-01-16,2023-12-01,11,45.57142857142857,0.2413793103448276,0.2413793103448276
F39,f,2.0,2023-01-18,2023-06-12,2,20.714285714285715,0.09655172413793103,0.09655172413793103
F4,f,19.0,2022-12-06,2023-09-08,17,39.42857142857143,0.43115942028985504,0.48188405797101447
F40,f,19.0,2023-01-21,2023-11-26,19,44.142857142857146,0.43042071197411,0.43042071197411
F41,f,11.5,2023-02-03,2023-11-02,12,38.857142857142854,0.3088235294117647,0.2959558823529412
F42,f,27.0,2023-02-04,2023-09-15,27,31.857142857142858,0.8475336322869955,0.8475336322869955
F43,f,12.0,2023-02-07,2023-07-17,12,22.857142857142858,0.525,0.525
F44,f,32.0,2023-04-11,2023-11-29,32,33.142857142857146,0.9655172413793103,0.9655172413793103
F45,f,30.0,2023-04-19,2023-12-02,30,32.42857142857143,0.9251101321585903,0.9251101321585903
F46,f,22.0,2023-04-25,2023-11-26,22,30.714285714285715,0.7162790697674418,0.7162790697674418
F47,f,31.0,2023-05-05,2023-11-23,31,28.857142857142858,1.0742574257425743,1.0742574257425743
F48,f,16.0,2023-05-11,2023-12-03,13,29.428571428571427,0.441747572815534,0.5436893203883495
F49,f,1.0,2023-06-22,2023-06-22,1,0.0,inf,inf
F5,f,15.0,2022-12-06,2023-02-18,15,10.571428571428571,1.4189189189189189,1.4189189189189189
F50,f,4.0,2023-07-20,2023-07-21,4,0.14285714285714285,28.0,28.0
F51,f,8.0,2023-08-11,2023-09-28,8,6.857142857142857,1.1666666666666667,1.1666666666666667
F52,f,14.0,2023-09-22,2023-11-27,14,9.428571428571429,1.4848484848484849,1.4848484848484849
F53,f,15.34,2023-10-03,2023-12-01,14,8.428571428571429,1.6610169491525424,1.8199999999999998
F54,f,8.0,2023-10-14,2023-11-30,8,6.714285714285714,1.1914893617021276,1.1914893617021276
F55,f,4.0,2023-10-18,2023-11-20,4,4.714285714285714,0.8484848484848485,0.8484848484848485
F56,f,2.0,2023-10-20,2023-11-22,2,4.714285714285714,0.42424242424242425,0.42424242424242425
F57,f,3.0,2023-10-29,2023-10-29,2,0.0,inf,inf
F58,f,1.0,2023-11-03,2023-11-03,1,0.0,inf,inf
F59,f,2.5,2023-11-13,2023-11-13,1,0.0,inf,inf
F6,f,6.0,2022-12-07,2023-09-08,6,39.285714285714285,0.15272727272727274,0.15272727272727274
F7,f,2.0,2022-12-08,2023-01-15,2,5.428571428571429,0.3684210526315789,0.3684210526315789
